# META,public,LGE Pressure Sensor Non-wakeup,LGE,string_type=android.sensor.pressure,min_delay_us=40000,max_delay_us=1000000,resolution_hpa=0.0016
# META,unfiltered,LGE Unfiltered Pressure  Non-wakeup,Goertek,string_type=lge.sensor.lg_unfiltered_pressure,min_delay_us=31250,max_delay_us=1000000,resolution_hpa=0.01
source,timestamp_ns,pressure_hpa
unfiltered,668204871372055,981.79382324
unfiltered,668204902618721,981.79553223
public,668204893848982,981.79504395
unfiltered,668204933859086,981.79846191
public,668204933848982,981.79846191
unfiltered,668204965107992,981.80151367
unfiltered,668204996357211,981.80407715
public,668204973848982,981.79846191
unfiltered,668205027608773,981.80487061
public,668205013848982,981.80224609
unfiltered,668205058860388,981.80590820
public,668205053848982,981.80224609
unfiltered,668205090108513,981.80798340
unfiltered,668205121357732,981.80938721
public,668205093848982,981.80450439
public,668205133848982,981.80450439
unfiltered,668205152609034,981.81036377
unfiltered,668205183858252,981.81030273
public,668205173848982,981.80572510
unfiltered,668205215107732,981.81048584
public,668205213848982,981.80572510
unfiltered,668205246358513,981.81103516
unfiltered,668205277608252,981.81127930
public,668205253848982,981.80816650
public,668205293848982,981.80816650
unfiltered,668205308858252,981.81188965
public,668205333848982,981.80975342
unfiltered,668205340107732,981.81176758
unfiltered,668205371357732,981.80981445
unfiltered,668205402608721,981.80804443
public,668205373848982,981.80969238
unfiltered,668205433857732,981.80749512
public,668205413848982,981.80969238
unfiltered,668205465107471,981.80688477
public,668205453848982,981.80816650
unfiltered,668205496327784,981.80670166
public,668205493848982,981.80816650
unfiltered,668205527607211,981.80639648
unfiltered,668205558863982,981.80584717
public,668205533848982,981.80786133
public,668205573848982,981.80786133
unfiltered,668205590121065,981.80633545
unfiltered,668205621362680,981.80627441
public,668205613848982,981.80712891
unfiltered,668205652607523,981.80377197
public,668205653848982,981.80712891
unfiltered,668205683859294,981.80194092
public,668205693848982,981.80670166
unfiltered,668205715108252,981.80249023
unfiltered,668205746360388,981.80279541
public,668205733848982,981.80670166
unfiltered,668205777607992,981.80267334
public,668205773848982,981.80627441
unfiltered,668205808857732,981.80255127
unfiltered,668205840106950,981.80224609
public,668205813848982,981.80627441
unfiltered,668205871357992,981.80218506
public,668205853848982,981.80627441
public,668205893848982,981.80627441
unfiltered,668205902607211,981.80255127
unfiltered,668205933858513,981.80303955
public,668205933848982,981.80609131
unfiltered,668205965107732,981.80279541
public,668205973848982,981.80609131
unfiltered,668205996359294,981.80242920
public,668206013848982,981.80572510
unfiltered,668206027608044,981.80108643
unfiltered,668206058857471,981.80047607
public,668206053848982,981.80572510
unfiltered,668206090113982,981.80084229
unfiltered,668206121365023,981.80078125
public,668206093848982,981.80450439
unfiltered,668206152613721,981.80078125
public,668206133848982,981.80450439
unfiltered,668206183864555,981.80047607
public,668206173848982,981.80371094
unfiltered,668206215075648,981.79943848
