elapsed_seconds,latitude,longitude
0,44.092533333,5.579700000
4,44.091766667,5.582650000
8,44.090966667,5.585600000
12,44.090166667,5.588516667
16,44.089350000,5.591450000
20,44.088516667,5.594433333
24,44.087733333,5.597383333
28,44.086983333,5.600333333
32,44.086266667,5.603316667
36,44.085600000,5.606283333
40,44.084933333,5.609216667
44,44.084266667,5.612150000
48,44.083583333,5.615050000
52,44.082933333,5.617933333
56,44.082266667,5.620800000
60,44.081600000,5.623683333
64,44.080933333,5.626566667
68,44.080250000,5.629500000
72,44.079566667,5.632466667
76,44.078916667,5.635433333
80,44.078233333,5.638583333
84,44.077616667,5.641433333
88,44.077033333,5.644266667
92,44.076450000,5.647166667
96,44.075883333,5.650133333
100,44.075383333,5.653166667
104,44.074883333,5.656216667
108,44.074350000,5.659283333
112,44.073766667,5.662316667
116,44.073200000,5.665366667
120,44.072583333,5.668433333
124,44.071950000,5.671500000
128,44.071316667,5.674583333
132,44.070733333,5.677650000
136,44.070166667,5.680716667
141,44.069466667,5.684783333
145,44.068983333,5.687850000
149,44.068550000,5.690883333
153,44.068133333,5.693900000
157,44.067766667,5.696933333
161,44.067466667,5.699983333
165,44.067216667,5.703033333
169,44.067016667,5.706100000
173,44.066883333,5.709166667
177,44.066783333,5.712233333
181,44.066716667,5.715283333
185,44.066583333,5.718333333
189,44.066366667,5.721400000
193,44.066066667,5.724466667
197,44.065750000,5.727466667
201,44.065366667,5.730400000
205,44.065016667,5.733183333
209,44.064683333,5.735933333
213,44.064350000,5.738666667
217,44.064033333,5.741383333
221,44.063683333,5.744066667
225,44.063350000,5.746683333
229,44.063050000,5.749116667
233,44.062766667,5.751416667
237,44.062450000,5.753533333
241,44.062133333,5.755450000
245,44.061783333,5.757300000
249,44.061416667,5.759100000
253,44.061033333,5.760900000
257,44.060666667,5.762700000
263,44.060233333,5.765016667
267,44.059916667,5.766783333
271,44.059633333,5.768533333
275,44.059350000,5.770233333
279,44.059083333,5.771916667
283,44.058866667,5.773583333
287,44.058733333,5.775216667
291,44.058700000,5.776783333
295,44.058783333,5.778283333
299,44.058933333,5.779733333
303,44.059100000,5.781150000
307,44.059266667,5.782533333
311,44.059433333,5.783933333
315,44.059650000,5.785316667
319,44.059900000,5.786633333
323,44.060250000,5.787900000
327,44.060666667,5.788966667
331,44.061166667,5.789850000
335,44.061750000,5.790516667
339,44.062366667,5.790950000
343,44.063033333,5.791266667
347,44.063783333,5.791466667
351,44.064550000,5.791600000
355,44.065300000,5.791700000
359,44.066016667,5.791783333
363,44.066733333,5.791866667
367,44.067450000,5.791950000
371,44.068166667,5.792050000
375,44.068916667,5.792116667
379,44.069650000,5.792083333
383,44.070450000,5.791916667
387,44.071150000,5.791650000
391,44.071850000,5.791300000
395,44.072483333,5.790750000
399,44.073016667,5.789933333
403,44.073350000,5.788866667
407,44.073500000,5.787616667
411,44.073500000,5.786233333
415,44.073300000,5.784800000
419,44.072950000,5.783316667
423,44.072333333,5.781800000
427,44.071416667,5.780366667
